controlID	controlName	mitigates	techniqueID	techniqueName
AC-1	Policy and Procedures	mitigates	T1556.006	Multi-Factor Authentication
AC-1	Policy and Procedures	mitigates	T1556.007	Hybrid Identity
AC-10	Concurrent Session Control	mitigates	T1528	Steal Application Access Token
AC-10	Concurrent Session Control	mitigates	T1137	Office Application Startup
AC-10	Concurrent Session Control	mitigates	T1137.002	Office Test
AC-10	Concurrent Session Control	mitigates	T1185	Browser Session Hijacking
AC-11	Session Lock	mitigates	T1021.001	Remote Desktop Protocol
AC-11	Session Lock	mitigates	T1563.002	RDP Hijacking
AC-12	Session Termination	mitigates	T1505.005	Terminal Services DLL
AC-12	Session Termination	mitigates	T1021.001	Remote Desktop Protocol
AC-12	Session Termination	mitigates	T1072	Software Deployment Tools
AC-12	Session Termination	mitigates	T1185	Browser Session Hijacking
AC-12	Session Termination	mitigates	T1563.002	RDP Hijacking
AC-14	Permitted Actions Without Identification Or Authentication	mitigates	T1137.002	Office Test
AC-16	Security Attributes	mitigates	T1070.008	Clear Mailbox Data
AC-16	Security Attributes	mitigates	T1647	Plist File Modification
AC-16	Security Attributes	mitigates	T1070.001	Clear Windows Event Logs
AC-16	Security Attributes	mitigates	T1537	Transfer Data to Cloud Account
AC-16	Security Attributes	mitigates	T1567	Exfiltration Over Web Service
AC-16	Security Attributes	mitigates	T1003.003	NTDS
AC-16	Security Attributes	mitigates	T1005	Data from Local System
AC-16	Security Attributes	mitigates	T1040	Network Sniffing
AC-16	Security Attributes	mitigates	T1119	Automated Collection
AC-16	Security Attributes	mitigates	T1530	Data from Cloud Storage Object
AC-16	Security Attributes	mitigates	T1557	Adversary-in-the-Middle
AC-16	Security Attributes	mitigates	T1020.001	Traffic Duplication
AC-16	Security Attributes	mitigates	T1070	Indicator Removal on Host
AC-16	Security Attributes	mitigates	T1222	File and Directory Permissions Modification
AC-16	Security Attributes	mitigates	T1505	Server Software Component
AC-16	Security Attributes	mitigates	T1547.007	Re-opened Applications
AC-16	Security Attributes	mitigates	T1548.003	Sudo and Sudo Caching
AC-16	Security Attributes	mitigates	T1550.001	Application Access Token
AC-16	Security Attributes	mitigates	T1552.005	Cloud Instance Metadata API
AC-16	Security Attributes	mitigates	T1558	Steal or Forge Kerberos Tickets
AC-16	Security Attributes	mitigates	T1558.003	Kerberoasting
AC-16	Security Attributes	mitigates	T1565	Data Manipulation
AC-16	Security Attributes	mitigates	T1565.001	Stored Data Manipulation
AC-16	Security Attributes	mitigates	T1565.002	Transmitted Data Manipulation
AC-16	Security Attributes	mitigates	T1602.002	Network Device Configuration Dump
AC-16	Security Attributes	mitigates	T1003	OS Credential Dumping
AC-16	Security Attributes	mitigates	T1025	Data from Removable Media
AC-16	Security Attributes	mitigates	T1041	Exfiltration Over C2 Channel
AC-16	Security Attributes	mitigates	T1048	Exfiltration Over Alternative Protocol
AC-16	Security Attributes	mitigates	T1048.002	Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
AC-16	Security Attributes	mitigates	T1048.003	Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
AC-16	Security Attributes	mitigates	T1052	Exfiltration Over Physical Medium
AC-16	Security Attributes	mitigates	T1052.001	Exfiltration over USB
AC-16	Security Attributes	mitigates	T1070.002	Clear Linux or Mac System Logs
AC-16	Security Attributes	mitigates	T1114	Email Collection
AC-16	Security Attributes	mitigates	T1114.001	Local Email Collection
AC-16	Security Attributes	mitigates	T1114.002	Remote Email Collection
AC-16	Security Attributes	mitigates	T1114.003	Email Forwarding Rule
AC-16	Security Attributes	mitigates	T1213	Data from Information Repositories
AC-16	Security Attributes	mitigates	T1213.001	Confluence
AC-16	Security Attributes	mitigates	T1213.002	Sharepoint
AC-16	Security Attributes	mitigates	T1222.001	Windows File and Directory Permissions Modification
AC-16	Security Attributes	mitigates	T1222.002	Linux and Mac File and Directory Permissions Modification
AC-16	Security Attributes	mitigates	T1505.002	Transport Agent
AC-16	Security Attributes	mitigates	T1548	Abuse Elevation Control Mechanism
AC-16	Security Attributes	mitigates	T1552	Unsecured Credentials
AC-16	Security Attributes	mitigates	T1552.004	Private Keys
AC-16	Security Attributes	mitigates	T1557.002	ARP Cache Poisoning
AC-16	Security Attributes	mitigates	T1558.002	Silver Ticket
AC-16	Security Attributes	mitigates	T1558.004	AS-REP Roasting
AC-16	Security Attributes	mitigates	T1564.004	NTFS File Attributes
AC-16	Security Attributes	mitigates	T1602	Data from Configuration Repository
AC-16	Security Attributes	mitigates	T1602.001	SNMP (MIB Dump)
AC-17	Remote Access	mitigates	T1070.008	Clear Mailbox Data
AC-17	Remote Access	mitigates	T1505.005	Terminal Services DLL
AC-17	Remote Access	mitigates	T1647	Plist File Modification
AC-17	Remote Access	mitigates	T1552.007	Container API
