techniqueID	controlID	description	date added
T1547\.008	AU-\d+	Audit	5/29/20
T1547\.008	CM-(1|2|6)	"Configuring system settings, Group policy, Registry "	5/29/20
T1547\.008	SI-4	System Monitoring	5/29/20
T1003(\.001)?	AU-\d+	Audit	5/29/20
T1003(\.001)?	AC-(3|4)	Protect and prevent credential access	5/29/20
T1003(\.001)?	CM-(1|2|6)	"Configuring system settings, Registry"	5/29/20
T1003(\.001)?	SI-4	System Monitoring	5/29/20
T1485	AU-\d+	Audit	5/29/20
T1485	CM-2	Configuring system settings	5/29/20
T1485	CP-(2|7|9|10)	"Data backup, disaster recovery, system hardening, off site backups"	5/29/20
T1485	SI-(3|4|7|12)	"System Monitoring, malware"	5/29/20
T1486	AU-\d+	Audit	5/29/20
T1486	CM-2	Configuring system settings	5/29/20
T1486	CP-(2|7|9|10)	"Data backup, disaster recovery, system hardening, off site backups"	5/29/20
T1486	SI-(3|4|7|12)	"System Monitoring, malware"	5/29/20
T1491(\.(001|002))?	AU-\d+	Audit	5/29/20
T1491(\.(001|002))?	CM-2	Configuring system settings	5/29/20
T1491(\.(001|002))?	CP-(2|7|9|10)	"Data backup, disaster recovery, system hardening, off site backups"	5/29/20
T1491(\.(001|002))?	SI-(3|4|7|12)	"System Monitoring, malware"	5/29/20
T1561(\.(001|002))?	AU-\d+	Audit	5/29/20
T1561(\.(001|002))?	CM-2	Configuring system settings	5/29/20
T1561(\.(001|002))?	CP-(2|7|9|10)	"Data backup, disaster recovery, system hardening, off site backups"	5/29/20
T1561(\.(001|002))?	SI-(3|4|7|12)	"System Monitoring, malware"	5/29/20
T1490	AU-\d+	Audit	5/29/20
T1490	CM-(2|6)	Configuring system settings	5/29/20
T1490	CP-(2|7|9|10)	"Data backup, disaster recovery, system hardening, off site backups"	5/29/20
T1490	SI-(3|4|7|12)	"System Monitoring, malware"	5/29/20
T1547\.007	AU-\d+	Audit	5/29/20
T1547\.007	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1547\.007	RA-5	Vulnerability Scanning	5/29/20
T1547\.007	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1092	AU-\d+	Audit	5/29/20
